SMILES,Compound Annotation,pKa,type,X,Y
Fc1ccc(S)cc1,acid,6.35,Dataset,1.2564809,-13.33673
Sc1cccc(Cl)c1,acid,5.76,Dataset,2.2749524,-13.732536
Sc1ccc(Cl)cc1,acid,5.82,Dataset,1.7989804,-13.409379
Sc1ccc(Br)cc1,acid,5.8,Dataset,1.4155293,-13.019607
SCc1ccccc1,acid,9.43,Dataset,-10.340672,-2.0857317
Cc1ccc(S)cc1,acid,6.47,Dataset,1.3963872,-13.077067
O=C1OCC(O)=C1O,acid,4.4,Dataset,-23.427912,13.515796
CC1=C(O)C(O)=CC1,acid,9.11,Dataset,-26.60294,-28.048176
Oc1ccccc1O,acid,9.33,Dataset,17.925735,-19.19697
O=C(O)C1CCCC1,acid,4.99,Dataset,-54.09894,17.92571
Oc1cccc(O)c1,acid,9.56,Dataset,13.741378,-15.064405
Oc1ccc(O)cc1,acid,9.93,Dataset,8.612737,-11.282698
Oc1cccc(O)c1,acid,11.32,Dataset,13.743922,-15.065491
O=C(O)C1CC1(Cl)Cl,acid,3.51,Dataset,-55.8898,22.950188
O=C(O)C1CC1(Br)Br,acid,3.57,Dataset,-55.8708,22.99163
O=C(O)c1ccsc1,acid,4.03,Dataset,21.14248,8.239737
O=C(O)c1cccs1,acid,3.46,Dataset,17.722528,8.320685
O=C(O)c1ccc[se]1,acid,3.43,Dataset,19.272776,6.198783
O=P1(O)CCCCC1,acid,2.73,Dataset,-41.61878,17.077314
Cc1cccc(O)c1,acid,10.01,Dataset,14.726782,-13.976249
Cc1ccc(O)cc1,acid,10.22,Dataset,8.546576,-10.004784
Cc1ccccc1O,acid,10.22,Dataset,20.371529,-19.26214
Oc1ccccc1Cl,acid,8.4,Dataset,23.5737,-20.748623
Oc1ccccc1F,acid,8.81,Dataset,16.168417,-21.207048
Oc1ccccc1I,acid,8.4,Dataset,18.065321,-19.530987
Oc1ccccc1Br,acid,8.4,Dataset,18.823034,-16.625546
Oc1cccc(Cl)c1,acid,8.96,Dataset,14.029158,-15.43177
Oc1cccc(I)c1,acid,9.02,Dataset,13.546407,-15.219833
Oc1cccc(Br)c1,acid,8.99,Dataset,14.371069,-15.118113
Oc1ccc(Cl)cc1,acid,9.29,Dataset,7.2124515,-10.9457855
Oc1ccc(F)cc1,acid,9.88,Dataset,6.1637177,-11.660688
Oc1ccc(I)cc1,acid,9.32,Dataset,8.44702,-11.551772
Oc1ccc(Br)cc1,acid,9.29,Dataset,7.5623407,-12.191944
O=C1CCC(O)=C1O,acid,4.8,Dataset,-23.580309,13.492498
O=C(O)c1ccco1,acid,3.18,Dataset,19.00647,3.5655484
O=C(O)C1(O)CCC1,acid,3.88,Dataset,-55.50973,27.1559
O=C(O)c1ccoc1,acid,3.94,Dataset,20.78196,8.904708
CO[C@H]1C[C@H]1C(=O)O,acid,4.76,Dataset,-60.697746,20.119476
CO[C@H]1C[C@@H]1C(=O)O,acid,4.47,Dataset,-60.697388,20.120176
Nc1ccnc(N)n1,base,7.26,Dataset,-16.187124,-42.66018
Nc1cncnc1N,base,6.03,Dataset,-31.242655,-51.470078
Nc1ccccc1N,base,4.43,Dataset,9.740809,-27.167025
N[C@H]1CCCC[C@H]1N,base,9.84,Dataset,-36.368225,15.110462
N[C@H]1CCCC[C@@H]1N,base,9.75,Dataset,-36.368412,15.111289
